RowNumber,species_1,cluster_1,species_2,cluster_2,dist,neighborhood,cross_species_cluster1_species_1,cross_species_cluster2_species_2,NewSortColumn
447,3,83,1,84,19.53213092,181,83,83,0
4399,3,83,2,84,18.70253264,181,83,83,0
12133,3,83,5,84,17.82115213,181,83,83,0
489,3,83,1,85,26.64915432,181,83,83,0
8264,3,83,4,85,17.32755243,181,83,83,0
8306,3,83,4,122,7.707322578,181,83,83,0
15361,1,84,2,84,2.337956407,181,83,83,0
20953,1,84,5,84,2.162943464,181,83,83,0
26462,2,84,5,84,1.808664766,181,83,83,0
448,3,84,1,84,3.675708755,181,83,83,0
4400,3,84,2,84,4.012927325,181,83,83,0
12134,3,84,5,84,3.911990708,181,83,83,0
18183,1,84,4,85,4.479427436,181,83,83,0
23613,2,84,4,85,4.386234795,181,83,83,0
490,3,84,1,85,38.75232229,181,83,83,0
8265,3,84,4,85,2.305873384,181,83,83,0
18222,1,84,4,122,24.92451053,181,83,83,0
23645,2,84,4,122,24.0932227,181,83,83,0
8307,3,84,4,122,24.99527782,181,83,83,0
15362,1,85,2,84,37.07107435,181,83,83,0
20954,1,85,5,84,36.72010132,181,83,83,0
449,3,85,1,84,16.24960533,181,83,83,0
4401,3,85,2,84,16.49912419,181,83,83,0
12135,3,85,5,84,17.3532682,181,83,83,0
28949,4,85,5,84,3.769482837,181,83,83,0
18184,1,85,4,85,37.83700493,181,83,83,0
491,3,85,1,85,45.83945895,181,83,83,0
8266,3,85,4,85,20.12171182,181,83,83,0
18223,1,85,4,122,20.6447193,181,83,83,0
8308,3,85,4,122,37.31800181,181,83,83,0
28950,4,122,5,84,23.26439843,181,83,83,0
405,3,83,1,83,51.89165588,181,83,84,0
4357,3,83,2,83,52.71260619,181,83,84,0
8180,3,83,4,83,53.6290836,181,83,84,0
12091,3,83,5,83,51.85535808,181,83,84,0
8222,3,83,4,84,35.46209881,181,83,84,0
783,3,83,1,92,56.97964078,181,83,84,0
15322,1,84,2,83,47.711594,181,83,84,0
18105,1,84,4,83,50.65846707,181,83,84,0
20914,1,84,5,83,45.88953305,181,83,84,0
23549,2,84,4,83,49.82045554,181,83,84,0
26430,2,84,5,83,45.15831253,181,83,84,0
406,3,84,1,83,48.24707843,181,83,84,0
4358,3,84,2,83,49.11237118,181,83,84,0
8181,3,84,4,83,51.46487173,181,83,84,0
12092,3,84,5,83,47.54931778,181,83,84,0
18144,1,84,4,84,22.40827361,181,83,84,0
23581,2,84,4,84,22.02622564,181,83,84,0
