RowNumber,species_1,cluster_1,species_2,cluster_2,dist,neighborhood,cross_species_cluster1_species_1,cross_species_cluster2_species_2,NewSortColumn,subclass_1,class_1,subclass_2,class_2
447,human,Lamp5_1,chimp,Lamp5_2,19.53213092,lamp5_sncg_vip,Lamp5_1,Lamp5_1,1,Lamp5,inh,Lamp5,inh
4399,human,Lamp5_1,gorilla,Lamp5_2,18.70253264,lamp5_sncg_vip,Lamp5_1,Lamp5_1,2,Lamp5,inh,Lamp5,inh
12133,human,Lamp5_1,marmoset,Lamp5_2,17.82115213,lamp5_sncg_vip,Lamp5_1,Lamp5_1,3,Lamp5,inh,Lamp5,inh
489,human,Lamp5_1,chimp,Lamp5_3,26.64915432,lamp5_sncg_vip,Lamp5_1,Lamp5_1,4,Lamp5,inh,Lamp5,inh
8264,human,Lamp5_1,rhesus,Lamp5_3,17.32755243,lamp5_sncg_vip,Lamp5_1,Lamp5_1,5,Lamp5,inh,Lamp5,inh
8306,human,Lamp5_1,rhesus,Lamp5_4,7.707322578,lamp5_sncg_vip,Lamp5_1,Lamp5_1,6,Lamp5,inh,Lamp5,inh
15361,chimp,Lamp5_2,gorilla,Lamp5_2,2.337956407,lamp5_sncg_vip,Lamp5_1,Lamp5_1,7,Lamp5,inh,Lamp5,inh
20953,chimp,Lamp5_2,marmoset,Lamp5_2,2.162943464,lamp5_sncg_vip,Lamp5_1,Lamp5_1,8,Lamp5,inh,Lamp5,inh
26462,gorilla,Lamp5_2,marmoset,Lamp5_2,1.808664766,lamp5_sncg_vip,Lamp5_1,Lamp5_1,9,Lamp5,inh,Lamp5,inh
448,human,Lamp5_2,chimp,Lamp5_2,3.675708755,lamp5_sncg_vip,Lamp5_1,Lamp5_1,10,Lamp5,inh,Lamp5,inh
4400,human,Lamp5_2,gorilla,Lamp5_2,4.012927325,lamp5_sncg_vip,Lamp5_1,Lamp5_1,11,Lamp5,inh,Lamp5,inh
12134,human,Lamp5_2,marmoset,Lamp5_2,3.911990708,lamp5_sncg_vip,Lamp5_1,Lamp5_1,12,Lamp5,inh,Lamp5,inh
18183,chimp,Lamp5_2,rhesus,Lamp5_3,4.479427436,lamp5_sncg_vip,Lamp5_1,Lamp5_1,13,Lamp5,inh,Lamp5,inh
23613,gorilla,Lamp5_2,rhesus,Lamp5_3,4.386234795,lamp5_sncg_vip,Lamp5_1,Lamp5_1,14,Lamp5,inh,Lamp5,inh
490,human,Lamp5_2,chimp,Lamp5_3,38.75232229,lamp5_sncg_vip,Lamp5_1,Lamp5_1,15,Lamp5,inh,Lamp5,inh
8265,human,Lamp5_2,rhesus,Lamp5_3,2.305873384,lamp5_sncg_vip,Lamp5_1,Lamp5_1,16,Lamp5,inh,Lamp5,inh
18222,chimp,Lamp5_2,rhesus,Lamp5_4,24.92451053,lamp5_sncg_vip,Lamp5_1,Lamp5_1,17,Lamp5,inh,Lamp5,inh
23645,gorilla,Lamp5_2,rhesus,Lamp5_4,24.0932227,lamp5_sncg_vip,Lamp5_1,Lamp5_1,18,Lamp5,inh,Lamp5,inh
8307,human,Lamp5_2,rhesus,Lamp5_4,24.99527782,lamp5_sncg_vip,Lamp5_1,Lamp5_1,19,Lamp5,inh,Lamp5,inh
15362,chimp,Lamp5_3,gorilla,Lamp5_2,37.07107435,lamp5_sncg_vip,Lamp5_1,Lamp5_1,20,Lamp5,inh,Lamp5,inh
20954,chimp,Lamp5_3,marmoset,Lamp5_2,36.72010132,lamp5_sncg_vip,Lamp5_1,Lamp5_1,21,Lamp5,inh,Lamp5,inh
449,human,Lamp5_3,chimp,Lamp5_2,16.24960533,lamp5_sncg_vip,Lamp5_1,Lamp5_1,22,Lamp5,inh,Lamp5,inh
4401,human,Lamp5_3,gorilla,Lamp5_2,16.49912419,lamp5_sncg_vip,Lamp5_1,Lamp5_1,23,Lamp5,inh,Lamp5,inh
12135,human,Lamp5_3,marmoset,Lamp5_2,17.3532682,lamp5_sncg_vip,Lamp5_1,Lamp5_1,24,Lamp5,inh,Lamp5,inh
28949,rhesus,Lamp5_3,marmoset,Lamp5_2,3.769482837,lamp5_sncg_vip,Lamp5_1,Lamp5_1,25,Lamp5,inh,Lamp5,inh
18184,chimp,Lamp5_3,rhesus,Lamp5_3,37.83700493,lamp5_sncg_vip,Lamp5_1,Lamp5_1,26,Lamp5,inh,Lamp5,inh
491,human,Lamp5_3,chimp,Lamp5_3,45.83945895,lamp5_sncg_vip,Lamp5_1,Lamp5_1,27,Lamp5,inh,Lamp5,inh
